dataset,scenario,seed,window_size,alphabet_size,status,accuracy,precision,recall,f1_score
BATADAL,unseen,7,3,6,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,7,4,3,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,7,4,4,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,7,4,5,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,7,4,6,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,7,5,3,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,7,5,4,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,7,5,5,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,7,5,6,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,7,6,3,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,7,6,4,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,7,6,5,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,7,6,6,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,999,3,3,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,999,3,4,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,999,3,5,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,999,3,6,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,999,4,3,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,999,4,4,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,999,4,5,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,999,4,6,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,999,5,3,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,999,5,4,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,999,5,5,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,999,5,6,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,999,6,3,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,999,6,4,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,999,6,5,Success,0.9032648125755743,0.0,0.0,0.0
BATADAL,unseen,999,6,6,Success,0.9032648125755743,0.0,0.0,0.0
